,nEff,nResp,step,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,ourNumEdges,ourNumZeroEdges,ourNumPosEdges,ourNumSigMoreEdges,DiffEdges,dfgNumEdges80,dfgNumEdges100,sdE1,sdE2,sdE3,sdE4,sda
37,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.42,0.02,0.18,0.38,8,1,7,4,8,5.0,10.0,0.23671361036774655,0.005773502691896258,0.10392304845413264,0.34641016151377546,0.1732
38,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.41,0.02,0.39,0.18,9,2,7,4,9,5.0,10.0,0.23094010767585027,0.005773502691896258,0.22516660498395408,0.46188021535170065,0.2309
39,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.4,0.02,0.57,0.01,9,2,7,4,9,4.0,10.0,0.22516660498395408,0.005773502691896258,0.32908965343808666,0.560029761113937,0.28
40,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.41,0.18,0.0,0.41,NA,NA,NA,NA,NA,,,0.23094010767585027,0.09814954576223638,0.0,0.3290896534380867,0.1645
41,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.42,0.18,0.2,0.2,11,2,9,5,11,6.0,10.0,0.23671361036774655,0.09814954576223638,0.11547005383792516,0.4503332099679081,0.2252
42,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.41,0.18,0.41,0.0,11,3,8,5,11,5.0,9.0,0.23094010767585027,0.09814954576223638,0.23671361036774655,0.5658032638058332,0.2829
43,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.42,0.39,0.01,0.18,9,0,9,4,9,5.0,10.0,0.23671361036774655,0.2193931022920578,0.005773502691896258,0.46188021535170065,0.2309
44,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.39,0.4,0.19,0.02,11,1,10,5,11,5.0,10.0,0.2193931022920578,0.22516660498395408,0.1096965511460289,0.5542562584220407,0.2771
45,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.37,0.61,0.0,0.02,NA,NA,NA,NA,NA,,,0.20784609690826528,0.34641016151377546,0.0,0.5542562584220407,0.2771
46,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.58,0.0,0.01,0.41,6,0,6,3,6,4.0,9.0,0.32908965343808666,0.005773502691896258,0.005773502691896258,0.3290896534380867,0.1674
47,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.6,0.01,0.22,0.17,9,2,7,4,9,5.0,10.0,0.34063665882187916,0.0,0.12701705922171766,0.4676537180435968,0.2338
48,4,3,0.2,0.01,0.01,0.0,0.98,0.01,0.01,0.0,0.98,0.59,0.01,0.39,0.01,9,2,7,4,9,4.0,10.0,0.3348631561299829,0.0,0.22516660498395408,0.560029761113937,0.28
